Time (s),Power (dBm),Percentage (%)
0.259292126,0,100
0.758956909,0,100
1.259118557,0,100
1.758989811,0,100
2.259260178,0,100
2.759123326,0,100
3.259082317,0,100
3.758914948,0,100
4.259093762,0,100
4.758919716,0,100
5.259201527,0,100
5.759107590,0,100
6.259252548,0,100
6.758919716,0,100
7.259063244,0,100
7.758907795,0,100
8.259175777,0,100
8.759061337,0,100
9.259208679,0,100
9.758990765,0,100
10.259011746,0,100
10.758872986,0,100
11.259113312,0,100
11.759034157,0,100
12.259184361,0,100
12.758996010,0,100
13.259019375,0,100
13.758811474,0,100
14.259065151,0,100
14.759005070,0,100
15.259169102,0,100
15.758922577,0,100
16.258997440,0,100
16.758778095,0,100
17.259022236,0,100
17.758993149,0,100
18.259138584,0,100
18.758924961,0,100
19.258931160,0,100
19.758755684,0,100
20.258986950,0,100
20.758948326,0,100
21.259094715,0,100
21.758878708,0,100
22.258932591,0,100
22.758735657,0,100
23.258939266,0,100
23.758923054,0,100
24.259067059,0,100
24.758787632,0,100
25.258893490,0,100
25.758699417,0,100
26.258883476,0,100
26.758905888,0,100
27.259054661,0,100
27.758762360,0,100
28.258872509,0,100
28.758673668,0,100
29.258833408,0,100
29.758865833,0,100
30.259024143,0,100
30.758763790,0,100
31.258873940,0,100
31.758635521,0,100
32.258918762,0,100
32.758851528,0,100
33.258984566,0,100
33.758771420,0,100
34.258795738,0,100
34.758648396,0,100
35.258930206,0,100
35.758805752,0,100
36.258966446,0,100
36.758799076,0,100
37.258794785,0,100
37.758582115,0,100
38.258914471,0,100
38.758777142,0,100
39.258924484,0,100
39.758737087,0,100
40.258731842,0,100
40.758563042,0,100
41.258946896,0,100
41.758749485,0,100
42.258909226,0,100
42.758690357,0,100
43.258738518,0,100
43.758587837,0,100
44.258915424,0,100
44.758720875,0,100
45.258853436,0,100
45.758505821,0,100
46.258672714,0,100
46.758503914,0,100
