Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.257612228,26.986,29.078
1.255861759,27.074,29.092
2.256589890,27.19,29.102
3.257320404,27.186,29.112
4.255575657,27.286,29.122
5.256310463,27.39,29.134
6.257046223,27.434,29.146
7.257783890,27.504,29.158
8.256045818,27.584,29.17
9.256786346,27.608,29.18
10.257528782,27.622,29.19
11.255795479,27.706,29.2
12.256540299,27.802,29.212
13.257287502,27.866,29.222
14.255558968,27.88,29.232
15.256308079,27.972,29.244
16.257059097,27.982,29.254
17.255334854,28.036,29.264
18.256088734,28.102,29.274
19.256844521,28.196,29.284
20.257601261,28.204,29.294
21.255882263,28.226,29.304
22.256642342,28.33,29.312
23.257403374,28.332,29.324
24.255689144,28.428,29.334
25.256453514,28.434,29.346
26.257218838,28.506,29.356
27.255508423,28.556,29.366
28.256277084,28.616,29.376
29.257046700,28.716,29.386
30.255341530,28.754,29.396
31.256114483,28.804,29.406
32.256888390,28.804,29.416
33.255187035,28.914,29.426
34.255964279,28.942,29.436
35.256743431,28.976,29.446
36.257523060,29.054,29.456
37.255827427,29.134,29.466
38.256610870,29.148,29.476
39.257395268,29.2,29.486
40.255703926,29.254,29.496
41.256491661,29.33,29.506
42.257279873,29.366,29.518
43.255593300,29.418,29.526
44.256385326,29.474,29.536
45.257178307,29.512,29.546
46.255496025,29.528,29.556
47.256291866,29.604,29.566
48.257089615,29.668,29.576
49.255411625,29.738,29.586
50.256212235,29.772,29.598
51.257013798,29.794,29.608
52.255339623,29.874,29.618
53.256145001,29.92,29.628
54.256950855,29.988,29.636
55.255281448,30.06,29.648
56.256090641,30.088,29.658
