Time (s),Humidity (%)
0.019817829,54.63574
1.018151283,54.45215
2.018962860,54.36426
3.019775391,53.18652
4.018112183,53.1084
5.018927097,52.44531
6.019742966,53.1875
7.018082619,52.91016
8.018901348,53.66504
9.019720554,52.68457
10.018063068,52.93555
11.018884659,52.55371
12.019706726,52.42871
13.018053055,52.49121
14.018877506,51.9209
15.019702911,51.83203
16.018052101,51.74121
17.018879890,52.30859
18.019708157,51.82031
19.018060684,51.60254
20.018891811,51.46484
21.019723892,51.43555
22.018078804,51.37988
