Time (s),W,X,Y,Z
0.000000000,0.9716134,0.01031143,-0.03209783,-0.2268445
0.019817829,0.9711717,0.01082014,-0.03467447,-0.2283286
0.039636612,0.9708392,0.01150299,-0.03659976,-0.2294059
0.059454441,0.9706576,0.01240759,-0.03695596,-0.2300691
0.079272270,0.9705696,0.0139763,-0.03669868,-0.2303917
0.099090576,0.9703922,0.01488367,-0.03749189,-0.2309534
0.118908405,0.9701457,0.01591445,-0.03879692,-0.2317036
0.138726234,0.9699978,0.01695012,-0.0395848,-0.2321162
0.158544540,0.9698256,0.0176456,-0.03984753,-0.2327377
0.178362370,0.9699798,0.01842231,-0.03930598,-0.2321261
0.198180199,0.9702895,0.01905566,-0.03870709,-0.230878
0.217998028,0.9705531,0.01964013,-0.03836948,-0.2297744
0.237816334,0.9708704,0.01937442,-0.03842453,-0.2284435
0.257634163,0.971368,0.01872774,-0.03882378,-0.2263053
0.279929638,0.9717307,0.01894141,-0.03923504,-0.2246531
0.299747944,0.9719464,0.01942271,-0.03957611,-0.2236162
0.319565773,0.9716923,0.01816446,-0.04039246,-0.2246783
0.339383602,0.9715532,0.01673992,-0.04292563,-0.2249209
0.359201908,0.9715962,0.01531049,-0.04947139,-0.2234873
0.379019737,0.9715219,0.01326229,-0.05449699,-0.2227716
0.398837566,0.9717835,0.01240816,-0.05465507,-0.2216379
0.418656349,0.9723625,0.01100477,-0.05385688,-0.2193563
0.438474178,0.9728895,0.009315458,-0.05381082,-0.2170972
0.458291531,0.9734407,0.006346491,-0.05449246,-0.2145486
0.478109360,0.9738178,0.002399323,-0.05685319,-0.2122936
0.497928143,0.974023,-0.0001347291,-0.05993557,-0.2105105
0.517745972,0.9740955,-0.001186381,-0.06289843,-0.2093037
0.537563801,0.9739287,-0.001597106,-0.06608845,-0.2090937
0.559859276,0.9736094,-0.001196496,-0.06966873,-0.209421
0.579677105,0.9734513,-0.0001346108,-0.07262816,-0.2091545
0.599494934,0.9732689,0.0005094534,-0.07498151,-0.209172
0.619313717,0.9730955,0.001647993,-0.07554319,-0.2097695
0.639131546,0.9730983,0.002365208,-0.07527415,-0.2098465
0.658949375,0.9730281,0.001391326,-0.07570484,-0.2100261
0.678767681,0.9729833,0.0007282359,-0.07593767,-0.210153
0.698585510,0.9731568,0.0008244052,-0.07572389,-0.2094251
0.718403340,0.9732417,0.0008774303,-0.0759,-0.2089654
0.738221646,0.9730926,0.0005696889,-0.07679358,-0.2093343
0.758039474,0.972888,0.0007096179,-0.07763249,-0.2099745
0.777857304,0.9726182,0.001023257,-0.0780347,-0.2110714
0.797676086,0.9724271,0.001486958,-0.07814732,-0.2119061
0.819971085,0.9720989,0.00027808,-0.07917832,-0.2130305
0.839788914,0.9717488,-0.0001321571,-0.07983167,-0.2143806
0.859607220,0.9714913,-0.0008871095,-0.08055758,-0.2152721
0.879425049,0.9711277,-0.002607972,-0.08210405,-0.2163116
0.899242878,0.9707296,-0.004620896,-0.08303604,-0.2177047
