Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.3201669,-0.7251607,-0.3432401,-0.04850464,-0.03151959,0.9836174,13.49149,-8.871885,-23.56551,1004.628
0.009912014,0.4426338,-0.4831098,0.2683845,-0.05923881,-0.02768894,0.9798344,13.49149,-8.871885,-23.56551,1004.628
0.029736996,-1.088203,0.0009917939,-0.2820776,-0.06070162,-0.0281881,0.9779091,13.49149,-8.871885,-23.56551,1004.627
0.052039623,-0.6595686,0.364068,-0.09859026,-0.06218135,-0.02625499,0.975031,13.49807,-9.23016,-23.11568,1004.627
0.071864605,2.218405,0.9086823,0.207222,-0.05436251,-0.03498756,0.9715646,13.49807,-9.23016,-23.11568,1004.622
0.091689110,1.116202,0.2430426,0.5741968,-0.06020318,-0.02182159,0.9919367,13.49807,-9.23016,-23.11568,1004.622
0.111514568,-1.578071,-0.5436226,0.1460596,-0.060725,-0.01989398,0.9847093,13.86778,-9.234596,-23.56042,1004.624
0.131339073,-0.5371017,1.211246,-0.09859026,-0.0562957,-0.02863363,0.9856055,13.86778,-9.234596,-23.56042,1004.624
0.151163578,1.116202,0.9086823,0.3907094,-0.06164975,-0.03110883,0.9803126,12.75534,-9.254965,-23.99961,1004.621
0.170988560,-0.3534013,1.029708,0.5741968,-0.0606732,-0.02767892,0.9870824,12.75534,-9.254965,-23.99961,1004.621
0.190813065,-0.7820356,0.1825299,0.3295469,-0.06357423,-0.02719303,0.9928929,12.75534,-9.254965,-23.99961,1004.623
0.210638046,0.5651007,0.5456061,0.5130343,-0.05973488,-0.02183196,0.9866246,13.87271,-9.609713,-23.99729,1004.623
0.230462551,1.361136,0.4850934,0.02373465,-0.06116934,-0.02622183,0.9866099,13.87271,-9.609713,-23.99729,1004.621
0.250287533,-0.2921678,-0.7251607,1.185821,-0.05629688,-0.03401206,0.9764071,13.87271,-9.609713,-23.99729,1004.621
0.270112038,0.6875677,-0.3620844,1.246984,-0.05729125,-0.02425517,0.9861162,13.49642,-9.247,-24.00238,1004.619
0.289936543,-1.639304,0.1220172,0.8188466,-0.06412172,-0.02479491,0.9789106,13.49642,-9.247,-24.00238,1004.619
0.309762001,-0.1084674,-1.209262,1.308146,-0.05872793,-0.03060212,0.9822299,13.87271,-9.609713,-23.99729,1004.622
0.332064152,0.993735,-0.1200336,1.552796,-0.05290066,-0.02666714,0.9860798,13.87271,-9.609713,-23.99729,1004.622
0.351889610,-0.965736,1.816373,0.5130343,-0.05826723,-0.02719581,0.9803141,13.87353,-9.601292,-23.55394,1004.62
0.371714115,-1.21067,1.574322,0.1460596,-0.06309403,-0.03550573,0.9774019,13.87353,-9.601292,-23.55394,1004.62
0.391539097,0.1976999,0.3035553,1.185821,-0.06699488,-0.0242891,0.9929266,13.87353,-9.601292,-23.55394,1004.618
0.411364079,1.60607,0.3035553,1.124659,-0.06840426,-0.03257203,0.9938571,13.87353,-9.601292,-23.55394,1004.618
0.431188583,3.565541,0.9086823,0.4518718,-0.05914982,-0.03446956,0.994762,13.87353,-9.601292,-23.55394,1004.616
0.451013088,2.218405,0.4245807,0.6353592,-0.05623196,-0.04178762,0.9826415,13.87353,-9.601292,-23.55394,1004.616
0.470838547,2.402105,1.332271,-0.465565,-0.05635053,-0.03942799,0.9517629,13.13246,-9.609258,-23.55116,1004.619
0.490662575,-0.9045025,1.211246,-1.016027,-0.06358033,-0.03257498,0.9822464,13.13246,-9.609258,-23.55116,1004.619
0.510487080,-2.067938,2.300474,-1.260677,-0.06601956,-0.02917089,0.985656,13.12013,-8.884287,-24.00748,1004.615
0.530312538,1.299902,1.150733,-0.1597527,-0.06598682,-0.03208072,0.9904677,13.12013,-8.884287,-24.00748,1004.615
0.550137043,-0.1084674,0.0615045,-0.465565,-0.06068895,-0.02133484,0.9929072,13.12013,-8.884287,-24.00748,1004.615
0.569962025,0.6875677,0.1220172,-1.199515,-0.06214475,-0.02720657,0.9841968,12.76109,-9.62166,-23.99313,1004.615
0.589786530,1.78977,-0.4225971,-0.9548646,-0.05825575,-0.02718761,0.983693,12.76109,-9.62166,-23.99313,1004.615
0.609611511,0.2589334,1.332271,-1.199515,-0.06699976,-0.02135935,0.9963204,13.49149,-8.871885,-23.56551,1004.615
0.631914139,0.5038673,0.4245807,-1.260677,-0.06696066,-0.03746419,0.9812745,13.49149,-8.871885,-23.56551,1004.615
0.651739121,1.483603,-0.3015717,-0.5267274,-0.07185271,-0.02382149,0.995369,13.49149,-8.871885,-23.56551,1004.615
0.671563625,1.667303,0.1825299,-1.138352,-0.06892492,-0.02526599,0.9958282,13.49724,-9.238579,-23.55903,1004.615
0.691389084,-0.965736,-0.4831098,-1.933464,-0.06504858,-0.03063366,0.982747,13.49724,-9.238579,-23.55903,1004.615
0.711213589,1.116202,-0.6646479,-1.566489,-0.06264801,-0.02624344,0.9808258,12.75124,-8.871431,-23.11938,1004.615
0.731037617,0.0139995,-0.9672114,-0.5878899,-0.05195682,-0.01739414,0.9928797,12.75124,-8.871431,-23.11938,1004.614
0.750863075,0.5038673,-0.7251607,-1.688814,-0.06216856,-0.01206856,1.002134,12.75124,-8.871431,-23.11938,1004.614
0.770687580,0.07523298,-1.693364,-1.07719,-0.05830751,-0.01646941,0.9861618,13.50217,-9.613695,-23.9959,1004.614
0.790512562,0.993735,-1.511826,-0.465565,-0.06558169,-0.0169812,0.9915083,13.50217,-9.613695,-23.9959,1004.614
0.810337067,0.993735,-1.209262,-0.2209152,-0.05685291,-0.01744274,0.9832526,14.24407,-9.597309,-23.55533,1004.614
0.830162049,-0.7820356,-0.846186,-0.5878899,-0.06116782,-0.03355382,0.974988,14.24407,-9.597309,-23.55533,1004.614
0.849986553,-0.3534013,-0.7251607,-0.09859026,-0.06413586,-0.01991629,0.9827971,14.24407,-9.597309,-23.55533,1004.615
0.869811058,0.8100346,-0.5436226,-0.1597527,-0.05634217,-0.02915571,0.9711227,13.50217,-9.613695,-23.9959,1004.615
0.889636517,1.78977,0.5456061,-0.2820776,-0.05977407,-0.01159365,0.9919869,13.50217,-9.613695,-23.9959,1004.614
0.911939621,0.8712681,1.634835,-0.6490523,-0.05919726,-0.02717038,0.9928691,13.50779,-9.910854,-23.54715,1004.614
0.931764126,-0.2309344,1.271759,-0.4044026,-0.0650676,-0.02429192,0.9876065,13.50779,-9.910854,-23.54715,1004.612
0.951588631,1.116202,-0.3620844,0.02373465,-0.06799645,-0.0208927,0.9900534,13.50779,-9.910854,-23.54715,1004.612
0.971413613,0.5038673,-1.632851,0.1460596,-0.06159674,-0.03204869,0.9943053,13.13246,-9.609258,-23.55116,1004.61
0.991238117,0.2589334,-2.419516,0.3907094,-0.05390385,-0.02180527,0.9851448,13.13246,-9.609258,-23.55116,1004.61
1.011063099,1.973471,-1.330288,-0.2820776,-0.05634101,-0.0252439,0.9779003,13.50299,-9.605274,-23.55255,1004.609
1.030887604,0.1364664,0.1825299,-0.5267274,-0.05924694,-0.0232949,0.9846838,13.50299,-9.605274,-23.55255,1004.609
1.050712585,-0.1084674,0.0615045,-0.8937021,-0.05879273,-0.01549339,0.9881001,13.50299,-9.605274,-23.55255,1004.609
1.070537090,-0.1084674,0.1220172,-0.3432401,-0.06072391,-0.02038208,0.984224,13.49724,-9.238579,-23.55903,1004.609
1.090362549,1.60607,-0.3015717,0.08489711,-0.0530026,-0.00962947,0.984237,13.49724,-9.238579,-23.55903,1004.61
1.110187054,-0.1697009,0.9691951,0.1460596,-0.05877753,-0.02232674,0.9813074,13.50779,-9.910854,-23.54715,1004.61
1.130011559,-1.02697,0.2430426,-0.2209152,-0.05730926,-0.02280143,0.9832276,13.50779,-9.910854,-23.54715,1004.61
1.149836540,0.1364664,-0.7856733,-0.03742781,-0.06262454,-0.02867103,0.9837093,13.50779,-9.910854,-23.54715,1004.61
1.169661045,2.402105,0.2430426,-0.2209152,-0.06022777,-0.02183916,0.9846966,14.24489,-9.58889,-23.11197,1004.606
1.191964150,3.01444,0.4245807,-0.5878899,-0.06166755,-0.01645539,0.9992124,14.24489,-9.58889,-23.11197,1004.606
1.211788654,0.993735,-0.5436226,-0.3432401,-0.04663182,-0.01885066,0.9831895,13.87353,-9.601292,-23.55394,1004.606
