Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.079311848,19.96247,0.8088545,46.75432
0.178452969,6.644433,0.9839361,46.54571
0.280071735,4.272566,0.8345127,46.54571
0.379212380,3.163981,0.9725198,45.54551
0.478352547,6.289807,1.071404,45.21761
0.579971790,21.62337,0.9665616,45.2916
0.679111957,8.481908,0.9947614,44.15261
0.778253078,4.037154,0.9369222,43.92981
0.879872322,5.180485,0.9223194,43.8203
0.979012489,7.775066,0.9977192,43.52911
1.078153133,22.10582,1.242041,44.00583
1.179771900,9.205563,0.717864,44.29094
1.278912544,8.633317,0.9597882,45.19435
1.378052712,4.921206,0.8276975,45.46217
1.479671955,11.88055,1.097014,46.47561
1.578812122,14.21649,0.9858834,47.70363
1.680431366,10.46309,0.9277883,48.00605
1.779572487,20.24244,0.9820566,48.0699
1.878712654,1.447061,0.819059,49.6884
1.980331898,10.53813,1.009685,49.96867
2.079472065,3.775722,1.13071,50.8652
2.178612709,11.185,1.001179,50.91875
2.280231476,30.17883,1.092221,51.203
2.379372120,5.347577,0.8104125,51.63265
2.478512287,3.931804,0.941139,51.69068
2.580131531,11.76646,0.9695994,51.95238
2.679271698,12.29943,1.066354,53.52733
2.778412342,29.0605,0.9548674,53.84221
2.880031109,32.67405,1.073222,54.52878
2.979171753,6.623488,0.7822039,54.63372
3.078311920,4.494916,1.003798,56.06152
3.179931164,19.03367,0.8895084,57.10342
3.279071331,23.88936,1.050719,57.47838
3.378211975,20.27609,1.080141,59.20181
3.479830265,11.9227,0.7807248,60.27684
3.578970432,9.20032,0.8043789,61.56087
3.678111076,6.114199,0.9167347,62.27631
3.779729843,7.982986,1.118346,64.09628
3.878870487,7.314672,1.201541,65.4278
3.978010654,13.06038,1.02439,67.65125
4.079629898,9.201745,0.7244279,68.36723
4.178770065,11.70782,0.8994309,69.25719
4.280389309,17.23948,0.9565064,70.73486
4.379529476,21.60237,1.183823,73.00137
4.478669167,14.87255,1.014355,74.55994
4.580288410,21.05948,0.9875531,76.6171
4.679428577,8.084215,0.745912,78.58253
4.778569221,6.972571,0.8911036,80.88792
4.880187988,11.83863,1.102532,82.58975
4.979328632,13.80239,1.216585,85.13644
5.078468800,19.36821,1.185595,86.51992
5.180087090,10.4523,0.6834653,87.87099
5.279227734,4.932775,0.9618314,87.94478
5.378367901,13.35295,0.8690785,89.58017
5.479987145,13.13961,1.17521,89.2559
5.579126835,21.88087,0.9600111,88.77834
5.678267479,15.20571,0.9465521,87.6562
5.779886246,8.131413,0.8999453,87.84246
5.879026890,9.524839,0.8759375,86.17842
5.978167057,10.92914,1.068757,84.28853
6.079785347,27.53047,1.241654,81.97026
6.178925991,10.48011,1.037182,79.99971
6.278066158,9.39411,0.8260913,78.3231
6.379684448,7.344879,0.8874015,76.0466
6.478825092,6.070118,1.020527,74.89367
6.577965260,12.22598,1.100065,72.27616
6.679584503,38.73637,1.259286,70.57258
6.778724194,16.47318,0.802597,69.31808
6.880342960,6.756773,0.8718532,67.20296
6.979483604,10.01211,0.9977285,65.05909
