Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186104298,99.97266,1175.625,4.11625,242.1875,0
1.241053581,99.97266,846.1875,4.110625,257.5,0
2.119874954,99.96094,692.90625,4.1125,274.6875,0
3.174640656,99.94922,572.625,4.113125,280.3125,0
4.229333878,99.94922,494.4375,4.110625,261.5625,0
5.108377934,99.9375,447,4.109375,275.3125,0
6.163318634,99.9375,408.28125,4.113125,254.0625,0
7.217990875,99.92578,377.53125,4.10875,290.9375,0
8.096992493,99.92578,356.15625,4.106875,268.75,0
9.151667595,99.91406,335.15625,4.11,255.625,0
10.206650734,99.90234,317.0625,4.10875,255,0
11.085514545,99.90234,305.25,4.1075,265,0
12.140290737,99.88672,292.6875,4.1075,269.375,0
13.195125103,99.875,281.4375,4.105,264.375,0
14.249941349,99.875,271.59375,4.108125,267.1875,0
15.128803730,99.86328,263.71875,4.104375,280,0
16.183632851,99.86328,255.5625,4.10625,275.625,0
17.238454342,99.85156,249.375,4.105,276.875,0
18.117499352,99.83984,245.34375,4.104375,285.625,0
19.172375202,99.83984,240,4.104375,262.1875,0
20.226969719,99.82813,236.625,4.100625,281.25,0
21.106060982,99.81641,232.96875,4.104375,274.6875,0
22.160940170,99.81641,229.125,4.103125,280.625,0
23.215650082,99.80469,226.03125,4.1025,273.4375,0
24.094674587,99.80469,224.25,4.10375,259.6875,0
25.149346828,99.78906,221.34375,4.101875,273.4375,0
26.204092979,99.77734,219.375,4.101875,262.8125,0
27.083124161,99.77734,217.78125,4.103125,286.25,0
28.137871742,99.76563,216.09375,4.099375,285.625,0
29.194064140,99.75391,214.6875,4.104375,255.3125,0
