Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.049548149,-0.03326727,0.7684823,-0.7963814
0.148644447,-0.03930971,0.7844589,-0.807973
0.250218868,-0.03337827,0.7893826,-0.8207094
0.349315643,-0.02631194,0.7856249,-0.8323131
0.448411942,-0.02790811,0.7718276,-0.8447917
0.549985409,-0.03165169,0.7719482,-0.8558479
0.649081707,-0.03454616,0.7748728,-0.8669156
0.748178482,-0.03430533,0.7793555,-0.8781487
0.849752903,-0.03374001,0.7860227,-0.8917302
0.948849201,-0.02958469,0.795083,-0.9033629
1.047945499,-0.03008938,0.8044752,-0.007793872
1.149519920,-0.03032194,0.8120916,-0.02104846
1.248616219,-0.03440175,0.8259163,-0.03347349
1.350190640,-0.03270706,0.8358949,-0.04597118
1.449286938,-0.03230743,0.8405518,-0.06079427
1.548384190,-0.03100826,0.8432525,-0.07260216
1.649957657,-0.01566356,0.8462445,-0.08264618
1.749054909,-0.01342615,0.8540267,-0.09290193
1.848151207,-0.01224542,0.8606878,-0.103014
1.949725628,-0.01440789,0.8658777,-0.1158664
2.048821926,-0.01606315,0.8691714,-0.1275468
2.147919178,-0.0132439,0.8732548,-0.1385808
2.249493599,-0.01019077,0.879261,-0.1527639
2.348589897,-0.01010832,0.884051,-0.1630609
2.450164318,-0.008435233,0.8877231,-0.1770847
2.549261093,-0.00694609,0.8922817,-0.1869012
2.648358345,-0.00183512,0.89395,-0.1983799
2.749932766,-0.004493296,0.8985561,-0.2096629
2.849029064,-0.0009667575,0.9048356,-0.2197647
2.948126316,-0.0004419317,0.9043894,-0.228678
3.049700260,0.002444299,0.9066328,-0.2385689
3.148797512,0.003665528,0.9083627,-0.2465828
3.247894764,0.002369082,0.9141651,-0.2559632
3.349468708,0.00242594,0.9164153,-0.2658649
3.448565960,0.0003875794,0.91841,-0.2757071
3.550140381,-0.001074827,0.9185593,-0.2860706
3.649237633,-0.003398029,0.9218535,-0.2998612
3.748334408,-0.001060411,0.9216951,-0.3121173
3.849908829,0.0001189646,0.9278831,-0.3241596
3.949006081,-0.0001631095,0.9276087,-0.3353119
4.048102856,-0.003059822,0.9309276,-0.3436473
4.149677277,-0.002623206,0.928722,-0.3541866
4.248774529,-0.0005667469,0.9319949,-0.3652884
4.347871304,-0.001475968,0.9351724,-0.376557
4.449446678,0.0005819115,0.9369067,-0.3862369
4.548543453,6.776924E-05,0.937848,-0.3966523
4.650117874,-0.0007708542,0.9402793,-0.4053452
4.749215126,-0.0003927706,0.9403905,-0.413389
4.848311901,-0.0006610776,0.9480119,-0.4213546
4.949887276,0.0003447964,0.9500872,-0.4334836
5.048984051,0.004572001,0.9511243,-0.4443382
5.148081303,0.00506892,0.9514586,-0.4529848
5.249656200,0.004982183,0.9527892,-0.4617042
5.348753452,0.004023487,0.9530972,-0.4699846
5.447850227,0.005047413,0.9552929,-0.4808708
5.549425602,0.006481764,0.9559901,-0.4890718
5.648522377,0.004672918,0.9553999,-0.4977807
5.750097275,0.004361615,0.9569443,-0.5041323
5.849194527,0.006319826,0.9568062,-0.5124618
5.948291779,0.005667779,0.9542215,-0.519066
6.049866676,0.00309499,0.9564583,-0.5271149
6.148963451,0.004746161,0.9593487,-0.5354559
6.248061180,0.0008939569,0.9599642,-0.5412955
6.349636555,-0.0007641688,0.9615232,-0.5499557
6.448733330,-7.128701E-05,0.9644575,-0.5595632
6.547831059,0.0009910063,0.9613369,-0.5631163
6.649405480,0.002037043,0.9578989,-0.5722493
6.748503208,0.002449571,0.9611173,-0.5798785
6.850078583,0.002959931,0.9615204,-0.5845813
6.949175358,0.003854226,0.9598034,-0.5891852
7.048273087,0.006214669,0.9605404,-0.5978338
7.149847984,0.004148276,0.9622563,-0.603957
7.248945236,0.001943046,0.9625642,-0.6109083
7.348042965,0.0009938845,0.9613327,-0.6148696
7.449617863,0.002654531,0.9608341,-0.6222928
7.548715115,0.005356097,0.9620703,-0.6267174
7.647812843,0.006147397,0.9623055,-0.6282232
7.749387741,0.00930561,0.9597102,-0.6362216
7.848485470,0.00850496,0.9561852,-0.6393378
7.950060368,0.00974655,0.9561843,-0.6447644
8.049158096,0.01065751,0.9531175,-0.6519585
8.148255348,0.007596325,0.9498937,-0.6587994
8.249830246,0.007245489,0.9518529,-0.6655011
8.348927975,0.009965736,0.9471456,-0.669721
8.448025704,0.006532225,0.9441909,-0.6745226
8.549601078,0.007431922,0.9417837,-0.6807259
8.648698807,0.01135772,0.9449877,-0.6886656
8.747796536,0.00947753,0.9435095,-0.6912823
8.849371433,0.009387292,0.9477573,-0.6965162
8.948469162,0.008340585,0.9454109,-0.7002087
9.050044060,0.007677284,0.945388,-0.7042755
9.149141789,0.009377225,0.9407594,-0.7055922
9.248239517,0.01171799,0.9382142,-0.7088237
9.349814415,0.0135714,0.9365568,-0.7133662
9.448912144,0.01488435,0.9357904,-0.7165607
9.548009873,0.0133485,0.9312705,-0.7195663
9.649585247,0.01226877,0.9322857,-0.7249312
9.748682976,0.01016622,0.9313509,-0.7282714
9.847781182,0.007347211,0.9284283,-0.7320421
9.949356079,0.004366374,0.9244989,-0.7386314
10.048453808,0.003385128,0.9223784,-0.7418132
10.150029182,0.00495013,0.9216033,-0.7459464
10.249126911,0.003878644,0.9190812,-0.7491564
10.348225117,0.003731951,0.9160302,-0.7523417
10.449800015,0.001693436,0.9181586,-0.7568122
10.548897743,0.001639884,0.915081,-0.7610824
10.647995472,-0.001751489,0.9114034,-0.7647195
10.749571324,0.0002218763,0.9055297,-0.7683868
