Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.9921796,-0.0248825,0.03903904,0.02391727,0.9926567,0.02491864,-0.03963773,-0.02395487,0.9921787
0.002476692,0.9921827,-0.02494793,0.03891653,0.02397949,0.9926513,0.02507488,-0.03952062,-0.02411153,0.9921796
0.004953861,0.9921851,-0.02503786,0.03880216,0.02406622,0.9926455,0.02522672,-0.03941217,-0.02426265,0.9921803
0.007430553,0.9921867,-0.02514963,0.03868815,0.02417447,0.9926388,0.02538777,-0.03930486,-0.02442212,0.9921806
0.009907246,0.9921877,-0.02528314,0.03857354,0.02430587,0.9926323,0.02551404,-0.03919668,-0.02454597,0.9921818
0.012384415,0.9921879,-0.02542282,0.03847624,0.02444286,0.9926255,0.02564518,-0.0391061,-0.02467406,0.9921821
0.014861107,0.9921877,-0.02556293,0.03838982,0.02458003,0.9926188,0.02577633,-0.03902644,-0.0248019,0.9921821
0.017338276,0.9921875,-0.02571132,0.03829512,0.02472628,0.9926122,0.02589327,-0.0389384,-0.02491543,0.9921828
0.019814968,0.9921879,-0.02585968,0.03817941,0.024873,0.9926052,0.02601133,-0.03882942,-0.02503062,0.9921839
0.022291660,0.9921879,-0.02599584,0.03808342,0.0250064,0.9925983,0.02614562,-0.0387403,-0.02516207,0.992184
0.024768829,0.9921884,-0.02612118,0.03798458,0.02512996,0.9925922,0.02625705,-0.03864751,-0.02527117,0.9921848
0.027245522,0.9921886,-0.02625727,0.03789642,0.02526377,0.9925861,0.02637535,-0.03856586,-0.02538647,0.9921854
0.029723167,0.9921878,-0.02638573,0.0378205,0.02538959,0.9925795,0.02649495,-0.03849631,-0.02550308,0.9921849
0.032199383,0.9921879,-0.02651441,0.0377324,0.02551561,0.9925729,0.02662389,-0.03841486,-0.02562935,0.9921849
0.034676075,0.9921877,-0.02664333,0.03764097,0.02564142,0.9925658,0.02676707,-0.03833051,-0.02576997,0.9921844
0.037153721,0.9921874,-0.02677526,0.03755618,0.02577088,0.9925591,0.02688949,-0.03825236,-0.02588955,0.9921843
0.039630413,0.992188,-0.02690443,0.03745969,0.02589754,0.9925526,0.0270219,-0.03816273,-0.02601955,0.9921848
0.042107582,0.9921875,-0.02702843,0.0373802,0.02601886,0.992546,0.02714756,-0.03808983,-0.02614259,0.9921843
0.044584274,0.9921865,-0.02714179,0.03732346,0.02612964,0.9925401,0.02725493,-0.03803892,-0.02624714,0.9921834
0.047061443,0.9921843,-0.02725485,0.0372934,0.02624021,0.9925345,0.02734218,-0.03801416,-0.0263309,0.9921819
0.049538136,0.9921828,-0.02733851,0.03727154,0.02632152,0.9925302,0.02741939,-0.03799658,-0.02640552,0.9921805
0.052014828,0.9921818,-0.02741112,0.03725583,0.02639252,0.9925273,0.02747342,-0.03798423,-0.02645721,0.9921801
0.054491997,0.9921802,-0.02746215,0.03725879,0.02644207,0.9925249,0.02751048,-0.03798952,-0.02649226,0.9921789
0.056968689,0.9921789,-0.02748911,0.03727124,0.02646654,0.9925225,0.02756742,-0.0380042,-0.02654786,0.9921767
0.059445858,0.9921767,-0.02750323,0.03732226,0.02647684,0.9925205,0.02763161,-0.03805727,-0.02661018,0.9921731
0.061922550,0.9921748,-0.02750118,0.0373761,0.02647124,0.9925193,0.02768687,-0.03811248,-0.0266641,0.9921696
0.064399242,0.992173,-0.02747227,0.03743396,0.02643854,0.9925181,0.02774494,-0.03817107,-0.02672176,0.9921654
0.066876411,0.9921709,-0.0274354,0.03751756,0.02639729,0.9925177,0.02780016,-0.03825508,-0.0267762,0.9921608
0.069353104,0.9921691,-0.02739578,0.03759223,0.02635382,0.9925175,0.0278476,-0.03832989,-0.0268232,0.9921566
0.071830750,0.9921688,-0.02734745,0.03764885,0.02630179,0.9925177,0.0279035,-0.03838665,-0.02687949,0.9921533
0.074306965,0.9921677,-0.02728568,0.03771218,0.02623651,0.9925178,0.02794974,-0.03844948,-0.02692645,0.9921492
0.076783657,0.9921678,-0.0272157,0.03776037,0.02616374,0.9925187,0.02798745,-0.03849673,-0.02696561,0.9921464
0.079261303,0.9921683,-0.02714568,0.03779705,0.02609032,0.9925188,0.02804897,-0.0385331,-0.02702891,0.9921433
0.081737995,0.9921693,-0.02707049,0.03782451,0.02601139,0.9925187,0.02812564,-0.03856051,-0.02710779,0.99214
0.084215164,0.9921718,-0.02698164,0.0378205,0.02592009,0.9925193,0.02819087,-0.03855577,-0.02717659,0.9921383
0.086691856,0.9921752,-0.02688746,0.03779766,0.02582258,0.9925188,0.02829228,-0.03853301,-0.02728228,0.9921363
0.089168549,0.9921792,-0.0267985,0.03775937,0.02573059,0.9925184,0.02839698,-0.03849502,-0.02739146,0.9921349
0.091645718,0.9921826,-0.02672317,0.03772272,0.02565251,0.9925177,0.02849353,-0.03845881,-0.0274919,0.9921336
0.094122410,0.9921867,-0.02665325,0.03765659,0.02557985,0.9925159,0.02861129,-0.03839383,-0.02761411,0.9921324
0.096599579,0.9921919,-0.02658638,0.03757799,0.02550976,0.9925141,0.02875104,-0.03831701,-0.02775851,0.9921318
0.099076271,0.9921966,-0.02653605,0.03749247,0.02545591,0.9925112,0.02890457,-0.03823407,-0.02791622,0.9921306
0.101553440,0.9922014,-0.02649621,0.03739284,0.02541254,0.9925074,0.02906911,-0.03813759,-0.0280849,0.9921296
0.104030132,0.9922063,-0.02646661,0.03727465,0.02538018,0.9925032,0.0292286,-0.03802273,-0.0282486,0.992129
0.106506825,0.9922115,-0.02644975,0.0371516,0.02536164,0.9924998,0.02936431,-0.03790274,-0.02838814,0.9921297
0.108983994,0.9922161,-0.02643957,0.03702885,0.02535054,0.9924965,0.02948077,-0.03778276,-0.02850816,0.9921306
0.111460686,0.9922208,-0.02644216,0.03690112,0.02535344,0.9924939,0.02956948,-0.03765745,-0.02860005,0.9921328
0.113938332,0.9922253,-0.02644511,0.03677486,0.02535699,0.9924914,0.02964965,-0.03753341,-0.02868336,0.9921351
0.116415024,0.9922305,-0.02644806,0.03664704,0.02536054,0.9924892,0.02973163,-0.03740787,-0.02876851,0.9921378
0.118891239,0.9922355,-0.02645606,0.03649105,0.02537003,0.9924861,0.0298125,-0.03725428,-0.02885309,0.9921407
0.121368885,0.9922425,-0.02645897,0.03630994,0.02537462,0.9924836,0.02990841,-0.03707583,-0.02895353,0.9921448
0.123845577,0.9922494,-0.02646462,0.03610585,0.02538315,0.9924805,0.02999112,-0.03687417,-0.02904127,0.9921494
0.126322746,0.9922572,-0.02647534,0.03588355,0.02539608,0.9924767,0.03010727,-0.03665531,-0.02916273,0.992154
0.128799439,0.992265,-0.02649192,0.03565307,0.02541461,0.9924722,0.0302385,-0.03642884,-0.02929928,0.9921583
