Time (s),X (g),Y (g),Z (g)
0.000000000,-0.05759434,0.01969462,-0.01331711
0.000000000,-0.05759434,0.01969462,-0.01331711
0.004956722,-0.0591258,0.007971592,-0.01530647
0.004956722,-0.0591258,0.007971592,-0.01530647
0.007434368,-0.05871401,0.008001231,-0.02062416
0.009912014,-0.05921298,0.001764417,-0.02452409
0.012390137,-0.05537063,0.0009367168,-0.02166301
0.017345905,-0.0554303,-0.0007788539,-0.02748334
0.017345905,-0.0554303,-0.0007788539,-0.02748334
0.019824028,-0.05443019,-0.002552714,-0.02944088
0.024779797,-0.0577195,0.006453857,-0.03084433
0.027257919,-0.05858188,0.008493826,-0.03807873
0.029736042,-0.05742162,0.006233755,-0.03183216
0.032213688,-0.0582292,0.006859958,-0.03424805
0.034691811,-0.05905431,0.01132897,-0.04050243
0.037169933,-0.0574032,0.009505156,-0.04294205
0.039648056,-0.05867364,0.01153834,-0.04486108
0.042125702,-0.06085475,0.01116733,-0.03472084
0.044603825,-0.0587109,0.00982194,-0.03474492
0.047082424,-0.0613992,0.005076978,-0.03476149
0.049560547,-0.06116675,0.0008874238,-0.02899969
0.054516315,-0.05702323,0.009372912,-0.0328474
0.056994438,-0.05643505,0.01380041,-0.03282845
0.059472561,-0.05487902,0.01576965,-0.03137684
0.061950207,-0.04993261,0.01291358,-0.02610826
0.064428329,-0.05229289,0.01731222,-0.01641679
0.066906452,-0.04788547,0.01928083,-0.01594555
0.069384098,-0.04832191,0.02075019,-0.01158845
0.071862221,-0.04826937,0.01833647,-0.01256424
0.074340343,-0.04533567,0.02274673,-0.007244885
0.076817989,-0.0433798,0.01983845,-0.01354277
0.079296112,-0.04240239,0.01839383,-0.01837957
0.081774235,-0.04236876,0.01309632,-0.01599222
0.084251881,-0.04144202,0.01990076,-0.01064694
0.086730003,-0.04242536,0.01788615,-0.01354128
0.089208126,-0.04241373,0.01587617,-0.008233964
0.091686249,-0.04438208,0.01380495,-0.01449919
0.094163895,-0.04199874,0.01223281,-0.01595801
0.096642017,-0.04111244,0.01643829,-0.009651959
0.099120140,-0.03585125,0.007562902,-0.005371273
0.104075909,-0.04885427,0.02067071,0.0001081228
0.104075909,-0.04885427,0.02067071,0.0001081228
0.106554031,-0.05431141,0.02512091,-0.004159272
0.109031677,-0.05826457,0.02515205,-0.006523788
0.111509800,-0.05734932,0.02327114,-0.002166748
0.116465569,-0.04936838,0.02344223,0.01328969
0.116465569,-0.04936838,0.02344223,0.01328969
0.118943691,-0.04186701,0.02940519,0.02151024
0.121422291,-0.03824273,0.0281125,0.03067613
0.126378536,-0.03354826,0.03285018,0.02733439
0.126378536,-0.03354826,0.03285018,0.02733439
0.128856182,-0.03859039,0.0292151,0.03218555
0.138768196,-0.04250428,0.01452487,0.01188266
0.138768196,-0.04250428,0.01452487,0.01188266
0.143723965,-0.04398013,0.005664051,0.003633499
0.143723965,-0.04398013,0.005664051,0.003633499
0.146202087,-0.05120918,-0.003314503,-0.002173305
0.148680210,-0.05360033,-0.002041209,-0.004091501
0.151158333,-0.04966473,-0.01139814,-0.01044559
0.156114101,-0.04775227,-0.01742775,-0.01968122
0.156114101,-0.04775227,-0.01742775,-0.01968122
0.158592224,-0.04733872,-0.01610505,-0.02258176
0.161069870,-0.04453167,-0.01528681,-0.0250147
0.166026115,-0.04376499,-0.01709096,-0.02118236
0.166026115,-0.04376499,-0.01709096,-0.02118236
0.168503761,-0.04684599,-0.0124766,-0.0221113
0.170981884,-0.04796023,-0.01611653,-0.02647406
0.173460007,-0.03994364,-0.01341596,-0.02554411
0.178415775,-0.04583815,-0.006354809,-0.03078812
0.178415775,-0.04583815,-0.006354809,-0.03078812
0.180893898,-0.04561685,-0.005752217,-0.02644247
0.183372021,-0.04203375,-0.01047474,-0.02407539
0.185849667,-0.04151096,-0.002664335,-0.03513914
0.190805912,-0.03656141,-0.004547093,-0.03469366
