Time (s),Altitude (m)
0.700997353,15.30175
1.701716423,15.48555
2.699961185,15.44129
3.700684071,15.45327
4.701409340,15.51054
5.702136040,15.4741
6.700387955,15.38558
7.701117515,15.39964
8.701849461,15.42776
9.700106144,15.37621
10.700840473,15.31738
11.701576233,15.36371
12.699836731,15.3684
13.700575828,15.4439
14.701316357,15.37048
15.702058315,15.31738
16.700323582,15.23459
17.701067924,15.32779
18.701813221,15.43192
19.700082779,15.42619
20.700830936,15.37881
21.701580048,15.46004
22.699852943,15.50065
23.700604439,15.585
24.701356888,15.4918
25.699633121,15.56105
26.700387955,15.46785
27.701143742,15.54647
28.701900005,15.56365
29.700181484,15.63602
30.700939655,15.62145
31.701699734,15.62353
32.699983597,15.66987
33.700744629,15.82764
34.701507568,15.78702
35.699794292,15.69903
36.700558662,15.71309
37.701323986,15.76828
38.699613094,15.66518
39.700380325,15.76724
40.701148033,15.91928
41.699440002,15.97395
42.700209618,15.93594
43.700980186,15.87085
44.701752186,15.81826
45.700047493,15.73339
46.700820446,15.83857
47.701594353,15.80889
48.699891567,16.00155
49.700667381,15.89845
50.701443195,15.8745
51.699742794,15.79848
52.700520992,15.78025
53.701299190,15.70788
54.699601173,15.71309
55.700381756,15.77505
56.701161861,15.72142
57.699465752,15.69851
58.700248241,15.8318
59.701030731,15.85211
60.699337482,15.73756
61.700121403,15.73443
62.700906277,15.78025
63.699214935,15.61103
64.700000763,15.74485
65.700788021,15.71829
66.701575279,15.74433
67.699886322,15.78754
68.700674534,15.74016
69.701463699,15.60843
70.699777126,15.52929
71.700567722,15.61103
72.701358795,15.55584
73.699673176,15.59021
74.700465679,15.62665
75.701259136,15.59489
76.699575424,15.63238
77.700369835,15.6053
78.701165199,15.60218
79.699482918,15.6204
80.700279236,15.72038
81.701076031,15.70267
82.699395657,15.66154
83.700193405,15.61468
84.720809936,15.74901
85.699313164,15.74849
86.700113296,15.71569
87.700912952,15.67143
88.699235916,15.68184
89.700037479,15.7412
90.700839043,15.74328
91.699163437,15.862
92.699966907,15.98801
93.700769901,15.99946
94.699096203,15.98436
95.699900150,16.00155
96.700705528,16.14109
97.699033260,16.20149
98.699839115,16.19577
99.700644970,16.27596
100.698974609,16.36395
101.699781895,16.49778
102.700589657,16.42436
103.698920727,16.48789
104.699729443,16.50559
105.700538635,16.44102
106.698871136,16.50142
107.699681759,16.63213
108.700491905,16.63213
109.698825836,16.69878
110.699637890,16.58422
111.700449467,16.63629
112.698784828,16.67378
113.699597835,16.62952
114.700411320,16.60765
115.698748112,16.64566
116.699562073,16.75606
117.700377464,16.72065
118.698715210,16.80761
119.699531078,16.83
120.700347423,16.79511
121.698686600,16.66024
122.699503899,16.71753
123.700320721,16.70867
124.698661327,16.7019
125.699480057,16.68055
126.700299263,16.63942
127.698640823,16.74148
128.699460983,16.71961
129.700280666,16.64671
130.698623657,16.7571
131.699444771,16.89405
132.700265884,16.90759
133.698610783,16.968
