Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.077193737,99.875,1052.15625,4.115625,260.625,0
1.131253719,99.86328,774.375,4.11375,263.125,0
2.010471344,99.86328,641.625,4.113125,268.75,0
3.065192699,99.85156,539.90625,4.11625,320.625,0
4.119868279,99.83984,468,4.115625,280.9375,0
4.998925686,99.83984,426.9375,4.113125,276.5625,0
6.053669930,99.82813,391.40625,4.114375,245.3125,0
7.108407974,99.81641,363.28125,4.11,292.1875,0
7.987390041,99.81641,342.9375,4.114375,263.125,0
9.042158127,99.80469,323.625,4.109375,303.75,0
10.096970081,99.78906,304.3125,4.10875,277.5,0
10.975864887,99.78906,290.90625,4.110625,276.25,0
12.030699730,99.77734,279.375,4.1075,299.0625,0
13.085570335,99.76563,267.5625,4.110625,284.6875,0
14.140256882,99.75391,257.71875,4.1075,287.1875,0
15.019586086,99.75391,251.15625,4.106875,288.75,0
16.074130058,99.74219,244.78125,4.10875,260.9375,0
17.128831387,99.73047,238.96875,4.11,290.625,0
18.008099556,99.73047,234.09375,4.105625,283.75,0
19.062698841,99.71875,228.9375,4.106875,273.4375,0
20.117347717,99.70703,225.375,4.105625,274.375,0
20.996540546,99.70703,223.125,4.10375,286.5625,0
22.051593781,99.69141,218.71875,4.1075,300.625,0
23.105940342,99.67969,215.34375,4.105625,298.75,0
23.984980583,99.67969,213.9375,4.1,274.0625,0
25.040075302,99.66797,212.625,4.105,270.3125,0
26.094623566,99.65625,210.65625,4.1,278.125,0
26.973548412,99.65625,208.6875,4.099375,283.75,0
28.028450966,99.64453,203.71875,4.096875,374.375,0
29.084140301,99.63281,200.34375,4.095625,323.125,0
30.138209820,99.62109,194.53125,4.08125,438.125,0
31.016901493,99.60938,192.65625,4.1025,285.625,0
32.071795464,99.59375,188.0625,4.095,410.625,0
33.126425743,99.58203,183.375,4.098125,320.3125,0
34.005772114,99.58203,179.0625,4.08,440.625,0
35.060396194,99.57031,176.71875,4.100625,282.5,0
36.115132332,99.55859,174.9375,4.101875,282.5,0
36.994161606,99.54688,173.53125,4.09625,295.3125,0
38.048943043,99.53516,168.84375,4.074375,429.375,0
39.103601933,99.52344,166.6875,4.0875,327.5,0
39.982928276,99.51172,166.875,4.085625,395.625,0
41.037514210,99.49609,166.78125,4.085,345.9375,0
42.092168808,99.49609,166.6875,4.0925,293.125,0
42.971309662,99.48438,165.46875,4.076875,379.375,0
44.026043892,99.47266,162.09375,4.076875,445.625,0
45.080732346,99.46094,160.5,4.09,361.875,0
46.135616303,99.44922,159,4.09,321.25,0
47.014614582,99.4375,158.0625,4.079375,352.5,0
48.069290161,99.42578,158.625,4.0975,265,0
49.124271870,99.42578,162,4.1,269.375,0
50.003126144,99.41406,163.96875,4.100625,310,0
51.072164059,99.39844,164.34375,4.099375,332.5,0
