Time (s),X (g),Y (g),Z (g)
<<<<<<< HEAD
0.066887379,0.001936205,-0.003018824,0.005273256
0.165979385,0.00223499,0.006300118,0.009092127
0.267549038,0.001260918,-0.005306944,0.003497387
0.366641522,-0.004202729,-0.0009147519,0.01178982
0.465733528,0.02011444,0.004158648,0.01116274
0.567303658,0.006337317,0.002835664,0.01099376
0.666395188,0.005997036,-0.004716542,0.00241974
0.780351639,0.002076174,-0.001805161,0.00393588
0.869534493,0.001858801,-0.01406794,-0.01398666
0.966149807,-0.006169558,0.002407901,0.02479542
1.104878902,-0.01120687,-0.0002039654,-0.005180337
1.166812420,0.003911461,-0.002891741,0.00969413
1.265904903,-0.004796313,-0.002974767,0.0216593
1.367474556,0.007102846,0.0004656381,0.001275563
1.466567040,0.003857615,-0.001719812,0.005499489
1.565659523,0.0132541,-0.001465258,0.008470871
1.667229176,0.0002194953,-0.004635959,0.002426672
1.766322136,-0.01805368,-0.002401997,0.0005322074
1.865414620,0.003029215,-0.0009916091,0.004087489
1.966984272,0.008841136,0.005107993,0.01113645
2.066077232,-0.0005931358,-0.002476452,-0.0003631418
2.165169716,0.01577357,-0.005919933,0.00287392
2.269216538,-6.634306E-05,0.00196785,-0.003990727
2.365832329,-0.00955795,-0.001596087,0.01163698
2.467401981,0.001434059,-0.00310166,0.006804607
2.566494942,0.005639479,-0.006580283,-0.004425668
2.665587425,0.008159451,-0.0041254,-0.005750787
2.767158032,0.006296769,-0.004672563,-0.0009917606
2.866250038,-0.008631524,0.00163013,0.003122099
2.967820645,0.005047218,-0.0026728,0.009174197
3.066913128,-0.007796396,-0.0009601725,0.00394527
3.168483257,0.01896666,-0.001579732,0.002032549
3.267576218,0.003847104,-0.006825749,0.005583259
3.366668701,0.006108477,-0.00104344,0.0145282
3.465762138,0.003142312,-0.004012637,0.0009398619
3.567332268,0.003931017,-0.008602357,0.003084813
3.668901920,0.006746018,-0.0002399495,0.01456726
3.767994881,-0.001959195,-0.00324526,0.009576412
3.867088318,-0.01571931,-0.001638816,0.01153873
3.966181278,0.01788771,-0.00835653,-0.001621203
4.065273762,-0.01138727,-0.001823891,0.002428268
4.166843891,0.01878604,0.0006883475,0.01903197
4.268414497,0.01016347,0.002512775,0.009484975
4.367507458,0.0002692596,-0.004943169,-8.35704E-05
4.466600418,0.007082187,0.004705879,0.004291898
4.565693379,0.005155329,-0.002199256,0.01452164
4.667263985,0.004967539,-0.003403216,-0.0009085756
4.766356945,0.005159813,-0.0018458,0.0049293
4.867927075,-0.001443935,-0.00109328,-0.001310844
4.967020512,0.002437751,-0.005946726,0.008578178
5.066113472,-0.009534613,-0.002980514,0.01053997
5.167683601,0.007369909,0.003983895,0.01199389
5.266776562,-0.001356773,-0.003075773,0.01203588
5.365869999,0.01241943,-0.005839423,-0.007715871
5.467440128,0.01367884,0.0001990012,0.0146945
5.566533089,0.00766922,0.0005558396,-0.0002232684
5.665627003,0.007659791,-0.0003420486,0.00885316
5.767197609,0.005866169,-0.0004776822,0.00690086
5.866290570,0.01270248,-0.001869256,-0.004134291
5.975292683,0.003283508,-0.005000568,0.007614325
6.066953659,-0.01852518,-0.004139571,0.003527017
6.166047573,0.005599469,-0.0001933692,0.01215619
6.265140534,-0.008929272,-0.004719201,0.01223677
6.366711140,-0.002155559,-0.001052382,-0.00817102
6.465804577,0.007822784,-0.003659936,0.01052738
6.567375183,0.004523469,-0.005037347,0.009457855
6.666468144,0.008189729,-0.002484847,0.01294453
6.765562058,0.008427952,-0.005217033,0.006093485
6.867132187,0.01524334,-0.006186465,-0.01117483
6.966225147,0.009329623,-0.001044271,0.007719828
7.065319061,-0.004044991,-0.0002558511,0.01525781
7.179276466,-0.008299825,-0.008945395,0.002329968
7.265983105,0.003003394,-0.004005095,0.01036733
7.367553711,0.008165855,-0.004356211,-0.0001380475
7.466647148,0.002772965,0.004760384,0.008387286
7.590514183,0.002402577,-0.005581824,0.01033495
7.667311192,0.004105947,-0.002189594,-0.002458761
7.766405106,-0.007417865,-0.003655819,0.00356482
7.865498066,-0.007298976,0.002771737,0.01828177
7.967069149,0.009016406,-0.002351469,0.005791079
8.066162109,0.00883327,0.0004406897,0.004932784
8.165256023,0.01440574,-0.00525362,0.002373768
8.266827107,-0.0003792106,0.001874713,0.002920235
8.365920067,0.004258469,-0.002815886,-0.002991385
8.467491150,0.007678503,-0.0005256737,0.005315006
8.566584587,0.009110504,0.0008041651,0.007325265
8.668155670,-0.003068069,-0.001514578,0.008007371
