Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,0.04479418,-0.172776,-161.6869
0.019815922,0.04084988,-0.1714999,-161.7541
0.039631844,0.04557296,-0.1695676,-161.8126
0.059446812,0.04490373,-0.1673296,-161.8397
0.079262733,0.04438956,-0.163399,-161.8508
0.099077702,0.03282785,-0.1639525,-161.8658
0.118893623,0.02542492,-0.1596952,-161.8919
0.138709545,0.02950786,-0.1649693,-161.9106
0.158524513,0.03548392,-0.1665703,-161.9415
0.178340435,0.03914015,-0.1627714,-161.9792
0.200633049,0.04673143,-0.1676605,-162.0093
0.220448494,0.04659665,-0.1669471,-161.9846
0.240263939,0.04613896,-0.169646,-161.9619
0.260079384,0.04830027,-0.1720514,-161.9686
0.279894829,0.04478716,-0.1730154,-161.9919
0.299710751,0.04329255,-0.1733705,-162.0038
0.319526196,0.04618534,-0.1710454,-161.9516
0.339341641,0.05555271,-0.1720376,-161.9001
0.359157086,0.05091402,-0.1696086,-161.9069
0.378972530,0.04986671,-0.1687037,-161.9606
0.398788452,0.05224734,-0.1625033,-162.0102
0.418603897,0.05189737,-0.1626744,-162.0097
0.438419342,0.0468838,-0.1599439,-162.0131
0.458235264,0.04487963,-0.1586673,-162.0096
0.480527401,0.05075816,-0.1598803,-161.9878
0.500343323,0.05619835,-0.1611389,-161.9701
0.520158291,0.05435236,-0.1602565,-162.0063
0.539974213,0.05526176,-0.161939,-162.0372
0.559790135,0.0564225,-0.1599095,-162.0691
0.579605103,0.05282792,-0.1587885,-162.1061
0.599421024,0.05128047,-0.1556657,-162.1409
0.619235993,0.05327604,-0.153086,-162.1664
0.639051914,0.04766659,-0.150112,-162.1926
0.658867836,0.05361402,-0.1507838,-162.1936
0.678682804,0.04896337,-0.1494423,-162.1681
0.698498726,0.05119799,-0.1498247,-162.1422
0.718314648,0.05254796,-0.1491608,-162.1473
0.740606785,0.04901069,-0.148397,-162.1591
0.760422230,0.04725522,-0.1469653,-162.1614
0.780238152,0.04595697,-0.1476222,-162.1524
0.800053597,0.04842576,-0.1475796,-162.1427
0.819869042,0.04971348,-0.1482245,-162.1481
0.839684963,0.05183971,-0.1482777,-162.1572
0.859500408,0.05518064,-0.1488195,-162.1644
0.879315853,0.05699294,-0.1457796,-162.1714
0.899131298,0.06067112,-0.146701,-162.1768
0.918947220,0.06144626,-0.1462298,-162.1759
0.938762665,0.06493509,-0.1443154,-162.1733
0.958578110,0.06761315,-0.142277,-162.1691
0.978394032,0.07022574,-0.1404657,-162.1644
0.998209000,0.07102133,-0.1383806,-162.1603
