Time (s),X (g),Y (g),Z (g)
0.000000000,-0.004162297,-0.007731207,0.009806931
0.007430553,0.0002186298,-0.003344934,0.006904125
0.027246475,0.003217116,0.004700307,0.004029095
0.047062397,0.003418505,0.007747304,0.005556881
0.066877365,0.0004832447,-0.0001211278,0.004579186
0.086693287,0.002467707,0.002325255,0.002641022
0.106509209,-0.0007363558,0.0005179867,0.01371938
0.126324177,-7.949769E-05,-0.008538716,0.00736028
0.146140099,-0.0006421059,-0.001710866,0.004022062
0.165956020,0.006706849,-0.0007033311,0.007359147
0.185771942,0.003251642,-0.0008810684,0.009810567
0.205586910,0.003107935,0.00039123,0.002605498
0.225402832,0.001562551,0.0007755905,0.004567087
0.247694969,0.002126127,-0.001114473,0.003091633
0.267510891,0.001775637,-0.002874099,0.009332299
0.287326813,0.002322271,-0.003309682,0.003519058
0.307141781,-3.343821E-05,-0.01213324,-0.0008609295
0.326957703,0.0004992634,-0.009356201,0.001083195
0.346773625,-0.001850635,0.001917288,0.007920861
0.366588593,0.006994426,0.00153273,0.00643748
0.386404514,0.002191335,0.004403375,0.005536079
0.406220436,0.001242802,0.0007026419,0.00505805
0.426035881,-0.002058327,0.003349833,0.007505119
0.445851326,0.003430262,-0.003068279,0.007434785
0.465667248,-0.0009879172,0.003110193,0.004119098
0.485482693,0.003375083,0.0001900643,0.006018102
0.507775307,0.0005266368,-0.0002259612,0.01036292
0.527591229,0.003966406,-0.001155525,0.007435381
0.547406197,0.004449531,0.0008084998,0.002610803
0.567222119,0.001564234,-0.0007093623,0.007447779
0.587038040,0.004930571,0.0007047057,0.004547656
0.606853485,0.002488285,-0.0003378987,0.00069803
0.626668930,0.003462672,-0.002296928,0.009379148
0.646484852,0.001979887,0.001033112,0.009409904
0.666300297,0.0020134,-0.001974259,0.004567683
0.686116219,-0.0008574575,0.001770169,0.001221001
0.705931664,0.001646906,0.0001863539,0.005546212
0.725747109,0.0016471,0.002031974,0.005560935
0.745563030,0.003157392,0.0001065955,0.00795126
0.765378952,0.006022066,0.004440911,0.005068362
0.787671566,0.004113644,0.003926396,0.005072236
0.807487011,0.005599126,-0.00141187,0.00165534
0.827302456,0.002209783,0.002978332,0.008934259
0.847117901,0.001775593,-0.005304605,0.001165271
0.866933823,0.005244955,-0.002300292,0.009839058
0.886749745,0.0004099011,-0.001338497,0.007449806
0.906564713,-5.370378E-05,0.0005563274,0.006011605
0.926380635,0.001936018,-0.002904035,0.005017638
0.946196556,-0.0009031445,-0.003902271,0.00984782
0.966012478,0.002509996,0.000926286,0.003573477
0.985827446,-0.0003271252,-0.001528673,0.006947994
1.005643368,0.0006499439,-0.001560152,0.001631558
1.025459290,0.000704661,-0.001602717,0.00597322
1.047751427,0.006133258,-0.006990727,0.01025981
1.067567348,0.002215698,-0.005140893,0.006434619
1.087383270,0.007050768,0.0001010671,0.002097189
1.107199192,0.004227385,-0.002427995,0.003542423
1.127014160,0.005267188,-0.002946712,0.005459785
1.146830082,-0.0005236566,-0.003040966,0.005971909
1.166645527,0.003359005,-0.001203135,-0.002725542
1.186461449,0.001979828,-0.005732827,0.0006420612
1.206276894,0.001580909,-0.006412487,0.004505455
1.226092339,0.004064232,0.0007363558,0.01032299
1.245908260,0.005052343,-0.0009268746,0.004044235
1.265724182,0.002221853,-0.009873804,0.00208813
1.285540104,0.0007205158,0.003507078,0.00652492
1.305355072,0.006065428,0.002783604,0.004579782
1.367279053,-0.001140162,0.004222728,0.009959519
1.387094975,0.0003387481,-0.007090338,0.001214266
1.406910896,0.004261032,-0.002296507,0.006528854
1.426726818,0.002286181,-0.0004728734,0.00124681
1.446541786,-0.03497569,0.03695141,-0.04903239
1.466357708,0.01769179,0.02230018,-0.01415849
1.486173153,-0.004186928,0.0193475,0.005745292
1.505989075,-0.0007360727,0.02133378,0.01007324
1.525804997,0.002484038,-0.01881094,0.0233441
1.545619965,0.008228481,-0.01488678,0.0001590252
1.565435887,0.006740794,-0.004195184,0.001184404
1.587728501,0.001912937,-0.003325455,0.003629684
1.607544422,0.004399806,-0.003366075,0.00650984
1.627359867,0.004903734,-0.005868047,0.008430839
1.647175789,0.005862325,-0.003470257,0.001196086
1.666991711,0.005413726,-0.002475902,0.007474601
1.686806679,0.004023924,-0.00296241,0.006020725
1.706622601,0.003571615,-0.004364274,0.007939696
1.726438523,0.003117338,-0.00926679,0.0006737113
