Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.9929393,0.02209064,-0.01193892,-0.0221847,0.9929783,-0.007777371,0.01176321,0.00804066,0.9931538
0.002477646,0.9929379,0.02211253,-0.01201768,-0.02220654,0.9929783,-0.007718736,0.01184308,0.007984049,0.9931533
0.004954338,0.9929365,0.02213704,-0.01207339,-0.02223117,0.9929778,-0.007692324,0.01189916,0.007959176,0.9931527
0.007431507,0.9929357,0.02215886,-0.01210624,-0.02225315,0.9929775,-0.007683212,0.01193203,0.007951059,0.9931524
0.009908199,0.9929351,0.02217771,-0.01212708,-0.02227232,0.992977,-0.007695702,0.01195244,0.007964239,0.9931521
0.012384892,0.9929351,0.02219165,-0.01209154,-0.02228635,0.9929764,-0.007727222,0.0119161,0.007995126,0.9931523
0.014862061,0.9929357,0.02220833,-0.01201499,-0.02230294,0.9929757,-0.007771348,0.01183844,0.00803773,0.9931529
0.027246475,0.9929408,0.02226279,-0.01146003,-0.02235752,0.9929711,-0.008176658,0.01127411,0.008431163,0.993156
0.029723167,0.9929424,0.02228001,-0.01129624,-0.0223742,0.9929701,-0.008252448,0.01110852,0.008503455,0.9931573
0.032200813,0.9929435,0.02230256,-0.0111415,-0.02239601,0.9929691,-0.008305276,0.01095244,0.008553047,0.9931585
0.034677029,0.9929452,0.02232572,-0.01092862,-0.02241738,0.9929684,-0.008308494,0.01073935,0.00855173,0.9931607
0.037154675,0.9929466,0.02235145,-0.01075261,-0.02244216,0.9929675,-0.008361651,0.01056198,0.008601189,0.9931622
0.039631367,0.992948,0.0223827,-0.0105643,-0.02247236,0.9929665,-0.008416747,0.01037221,0.008652358,0.9931638
0.042108059,0.9929495,0.02242237,-0.010335,-0.02251018,0.9929655,-0.008430238,0.01014233,0.008661081,0.9931661
0.044585228,0.99295,0.02248285,-0.01015797,-0.0225694,0.9929639,-0.008458189,0.009964188,0.008685633,0.9931678
0.047061920,0.9929504,0.02254093,-0.009969119,-0.02262605,0.9929622,-0.00847936,0.009774409,0.008703092,0.9931693
0.049539089,0.9929507,0.02260967,-0.009778432,-0.02269273,0.9929611,-0.008438657,0.009584106,0.008658729,0.9931715
0.052015781,0.9929508,0.02270233,-0.009559025,-0.02278354,0.992959,-0.00844456,0.009363824,0.008660506,0.9931736
0.054492950,0.9929503,0.02280542,-0.00935705,-0.02288488,0.9929566,-0.008445565,0.00916099,0.008657841,0.9931755
0.056969643,0.9929496,0.02291375,-0.009179347,-0.02299169,0.9929543,-0.008447411,0.008982358,0.008656582,0.9931772
0.059446335,0.9929486,0.02303019,-0.008993468,-0.02310645,0.9929516,-0.008440984,0.008795672,0.008646896,0.993179
0.061923504,0.9929476,0.02315974,-0.008807981,-0.02323416,0.9929492,-0.008414251,0.008609742,0.008616989,0.9931812
0.064400196,0.9929458,0.02329437,-0.008657224,-0.02336718,0.9929466,-0.008376953,0.008458742,0.008577327,0.9931829
0.066877365,0.9929429,0.02344154,-0.008586585,-0.02351323,0.9929435,-0.008316808,0.008388276,0.00851678,0.993184
0.069354057,0.9929398,0.02359144,-0.008524425,-0.02366233,0.9929402,-0.0082838,0.00832564,0.008483567,0.9931846
0.071831703,0.9929367,0.02374132,-0.008470455,-0.0238113,0.9929371,-0.008229911,0.008271698,0.008429654,0.9931856
0.074308395,0.992933,0.0238884,-0.008458289,-0.0239579,0.9929336,-0.008185101,0.00825937,0.008385782,0.9931858
0.076784611,0.9929289,0.02402965,-0.008535681,-0.02409943,0.9929305,-0.008139998,0.008336637,0.008343734,0.9931853
0.079262257,0.9929247,0.02415729,-0.008671492,-0.02422783,0.9929278,-0.00809523,0.008472422,0.008303347,0.9931846
0.081738949,0.9929202,0.02428199,-0.008849782,-0.0243535,0.9929253,-0.008036166,0.008651056,0.008249717,0.9931836
0.084216118,0.9929155,0.02439838,-0.009066599,-0.02447147,0.9929227,-0.008011166,0.008867453,0.008231057,0.9931819
0.086692810,0.9929112,0.02450171,-0.009262199,-0.02457634,0.9929202,-0.008003798,0.009062313,0.008229435,0.9931802
0.089169979,0.9929064,0.02458854,-0.009532929,-0.02466539,0.992918,-0.0080015,0.009332291,0.008234627,0.9931777
0.091646671,0.992901,0.02465881,-0.009900499,-0.02473907,0.9929157,-0.008039799,0.009698203,0.008282699,0.9931737
0.094123364,0.9928964,0.02471603,-0.0102258,-0.02479989,0.9929137,-0.008128389,0.01002071,0.008379919,0.9931698
0.096600533,0.9928916,0.02475706,-0.01057769,-0.02484496,0.9929116,-0.008232393,0.01036954,0.00849308,0.9931651
0.099077225,0.9928874,0.02478759,-0.01089788,-0.02487923,0.99291,-0.008326364,0.01068701,0.008595339,0.993161
0.101554394,0.9928836,0.0247995,-0.01122123,-0.02489476,0.992909,-0.008401328,0.01100828,0.008678489,0.9931568
0.104031086,0.9928802,0.024809,-0.01149131,-0.02490779,0.9929077,-0.008505338,0.01127558,0.008789328,0.9931527
0.106508732,0.9928769,0.02480761,-0.01176966,-0.02491053,0.9929064,-0.008649834,0.01155023,0.00894073,0.9931483
0.108985424,0.9928745,0.02478763,-0.01202506,-0.02489429,0.9929058,-0.008771367,0.01180269,0.009068383,0.9931442
0.111461639,0.9928728,0.0247627,-0.01221066,-0.02487228,0.9929054,-0.008874333,0.01198588,0.009175663,0.993141
0.113939285,0.9928715,0.02473768,-0.0123662,-0.02485012,0.9929049,-0.008991539,0.01213867,0.009296419,0.993138
0.116415978,0.9928709,0.02471019,-0.01246739,-0.02482532,0.9929042,-0.009133189,0.01223655,0.00944022,0.9931355
0.118893147,0.9928709,0.02467753,-0.01253807,-0.02479517,0.9929036,-0.009282636,0.0123038,0.009590991,0.9931332
0.121369839,0.9928709,0.02464758,-0.01259145,-0.0247675,0.9929029,-0.009425543,0.01235389,0.009734822,0.9931311
0.123846531,0.9928718,0.02460989,-0.01262343,-0.02473198,0.9929028,-0.009574917,0.01238253,0.009884489,0.9931297
0.126323700,0.9928728,0.02457784,-0.01259319,-0.02470154,0.9929019,-0.009728948,0.0123488,0.01003734,0.9931285
0.128800392,0.9928744,0.02455683,-0.01249727,-0.02468175,0.9929004,-0.009907532,0.0122487,0.01021324,0.9931278
0.131277561,0.9928762,0.02453877,-0.01238161,-0.02466438,0.9928992,-0.01006099,0.01212946,0.01036358,0.9931275
0.133754253,0.9928787,0.0245263,-0.0122388,-0.02465227,0.9928984,-0.01021507,0.01198302,0.01051394,0.9931282
0.136231422,0.9928803,0.02452216,-0.01207541,-0.02464833,0.9928964,-0.01037693,0.01181573,0.01067167,0.9931281
0.138708115,0.992882,0.02452585,-0.01193347,-0.02465235,0.9928947,-0.01053527,0.0116699,0.01082651,0.9931282
0.141184807,0.9928834,0.02453515,-0.01180186,-0.02466178,0.9928931,-0.01066919,0.01153492,0.01095725,0.9931284
0.143661976,0.9928845,0.02455536,-0.01165969,-0.02468199,0.992891,-0.01080691,0.01138916,0.01109165,0.9931284
0.146138668,0.9928851,0.02457805,-0.0115636,-0.02470432,0.9928898,-0.01086852,0.01129133,0.01115112,0.993129
0.148616314,0.9928855,0.02459803,-0.01148259,-0.02472407,0.9928887,-0.01092858,0.01120863,0.01120938,0.9931293
0.151093006,0.9928859,0.02462375,-0.01139446,-0.0247494,0.9928874,-0.01098287,0.0111189,0.01126176,0.9931297
0.153570175,0.9928856,0.0246572,-0.01135331,-0.02478325,0.9928858,-0.01106035,0.01107546,0.01133857,0.9931293
0.156046867,0.9928851,0.02469616,-0.01131435,-0.02482242,0.9928841,-0.01111944,0.0110346,0.01139711,0.9931291
0.158523560,0.9928846,0.02473251,-0.01130265,-0.02485893,0.9928833,-0.01114689,0.0110218,0.01142466,0.9931293
0.161000729,0.9928829,0.02477382,-0.01132116,-0.02490086,0.9928813,-0.0111835,0.01103891,0.01146219,0.9931282
0.163477421,0.9928817,0.02481248,-0.01133647,-0.02494036,0.9928796,-0.01124328,0.01105228,0.01152276,0.9931272
0.165954590,0.9928802,0.0248537,-0.01137353,-0.0249821,0.9928783,-0.01125127,0.01108865,0.01153213,0.9931266
0.168431282,0.9928792,0.02489526,-0.01137895,-0.02502414,0.9928769,-0.0112884,0.01109266,0.01156986,0.9931262
0.170908451,0.9928777,0.02493903,-0.01139977,-0.02506841,0.9928755,-0.01131098,0.01111239,0.01159344,0.9931256
0.173385143,0.9928767,0.02498255,-0.0114333,-0.02511246,0.9928747,-0.01132435,0.01114507,0.01160813,0.9931256
0.175861836,0.992875,0.02502319,-0.01148693,-0.02515421,0.9928731,-0.0113678,0.0111971,0.01165338,0.9931244
0.178339005,0.9928733,0.02506121,-0.0115491,-0.02519307,0.9928719,-0.01137747,0.01125856,0.01166505,0.9931235
0.180815697,0.9928716,0.02508865,-0.01161568,-0.02522125,0.992871,-0.01137421,0.01132487,0.01166379,0.9931225
