Time (s),W,X,Y,Z
0.000000000,0.9949666,-0.03018977,0.07582644,0.002824033
0.007430553,0.9949679,-0.03019381,0.07580782,0.002848115
0.027246475,0.9949692,-0.03030912,0.07574166,0.002923252
0.047062397,0.9949528,-0.03048988,0.07588113,0.002975944
0.066877365,0.9949496,-0.03051787,0.07591131,0.003005595
0.086693287,0.994952,-0.03051373,0.0758817,0.003018098
0.106509209,0.99496,-0.03044738,0.07580487,0.003024123
0.126324177,0.9949684,-0.03034116,0.07573427,0.003048598
0.146140099,0.9949676,-0.03032716,0.07574891,0.003089458
0.165956020,0.9949691,-0.03032892,0.07572647,0.003147668
0.185771942,0.9949641,-0.03040781,0.07575864,0.003207696
0.205586910,0.994957,-0.03049161,0.07581604,0.00323545
0.225402832,0.9949518,-0.03054066,0.07586236,0.003249298
0.245218277,0.9949552,-0.03051605,0.07582869,0.003257855
0.267510891,0.9949622,-0.03042201,0.07577372,0.003262897
0.287326813,0.9949661,-0.03038862,0.0757352,0.003286529
0.307141781,0.9949669,-0.03040183,0.07571618,0.003349732
0.326957703,0.9949664,-0.03047173,0.07569084,0.003434396
0.346773625,0.9949644,-0.03067338,0.0756325,0.003538697
0.366588593,0.9949608,-0.03087873,0.07558896,0.003659326
0.386404514,0.9949555,-0.03112765,0.07555202,0.003762538
0.406220436,0.9949508,-0.03126455,0.07555243,0.003854531
0.426035881,0.9949506,-0.03139181,0.07549904,0.003919418
0.445851326,0.9949526,-0.03144674,0.0754485,0.00396423
0.465667248,0.9949508,-0.0315049,0.07544705,0.00399784
0.485482693,0.9949489,-0.03151665,0.07546631,0.004014505
0.505298615,0.9949515,-0.03147649,0.07544682,0.004026826
0.527591229,0.994954,-0.03146064,0.07542001,0.00403002
0.547406197,0.9949552,-0.03144551,0.07540872,0.004060514
0.567222119,0.9949546,-0.03147002,0.07540584,0.004093715
0.587038040,0.9949527,-0.03149619,0.07541721,0.004128396
0.606853485,0.9949517,-0.0315174,0.07541984,0.004159167
0.626668930,0.9949495,-0.0315344,0.07544028,0.004182959
0.646484852,0.994948,-0.0315677,0.07544389,0.004213995
0.666300297,0.9949479,-0.03160135,0.0754287,0.004262246
0.686116219,0.9949487,-0.03166169,0.07539016,0.004314478
0.705931664,0.9949481,-0.03173276,0.07536655,0.004347507
0.725747109,0.9949468,-0.03178265,0.07536191,0.004367016
0.745563030,0.994948,-0.03177661,0.07534629,0.004387996
0.765378952,0.9949463,-0.03180323,0.0753567,0.004408824
0.785193920,0.9949473,-0.03180246,0.07534365,0.004428971
0.807487011,0.9949479,-0.03180054,0.07533632,0.0044379
0.827302456,0.9949484,-0.03179521,0.07532936,0.00445597
0.847117901,0.9949499,-0.03178689,0.0753132,0.004459566
0.866933823,0.9949526,-0.03176428,0.07528704,0.004466216
