Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.1976999,0.1825299,-0.1597527,0.004893092,-0.003936294,0.9993951,-28.79235,8.991037,-24.80889,1003.691
0.019815922,0.2589334,0.0009917939,-0.2209152,0.006331874,-0.002965441,0.9950481,-28.79235,8.991037,-24.80889,1003.691
0.039631844,0.1364664,0.1825299,-0.2820776,0.002456018,-0.001508398,1.001834,-28.79235,8.991037,-24.80889,1003.688
0.059446812,0.3201669,0.1220172,-0.09859026,0.003870229,0.0009115117,0.9926681,-28.79811,9.357733,-24.81537,1003.688
0.079262733,0.1364664,0.0615045,-0.1597527,0.003416623,-0.003467466,0.9950615,-28.79811,9.357733,-24.81537,1003.691
0.099077702,0.1976999,0.1825299,-0.2820776,0.004380598,0.0004423368,0.9989376,-29.16864,9.35375,-24.81398,1003.691
0.118893623,0.1364664,0.1825299,-0.1597527,0.002963108,-0.001979916,1.007138,-29.16864,9.35375,-24.81398,1003.693
0.138709545,0.0139995,0.0615045,-0.3432401,0.006353165,-0.00441684,0.9989019,-29.16864,9.35375,-24.81398,1003.693
0.158524513,0.1976999,0.1825299,-0.2209152,0.004880575,-0.0005231362,1.001343,-29.84796,9.346449,-24.81144,1003.69
0.178340435,0.0139995,0.0615045,-0.09859026,-0.0004679852,-0.002505551,0.9984665,-29.84796,9.346449,-24.81144,1003.69
0.198155403,0.07523298,-0.05952091,-0.1597527,0.004855427,-0.001029981,0.9931353,-29.84796,9.346449,-24.81144,1003.692
0.220448494,0.1364664,0.0615045,-0.1597527,0.001458257,0.0009129887,0.9984735,-29.1744,9.720446,-24.82046,1003.692
0.240263939,0.1976999,0.1825299,-0.3432401,0.009259179,-0.0004993121,1.001802,-29.1744,9.720446,-24.82046,1003.689
0.260079384,0.1364664,0.0009917939,-0.09859026,0.004376256,0.002394722,1.000879,-29.47742,9.350431,-24.81283,1003.689
0.279894829,0.1976999,0.1825299,-0.2209152,0.004393646,-0.003948186,0.9955363,-29.47742,9.350431,-24.81283,1003.686
0.299710751,0.07523298,0.0009917939,-0.1597527,0.003904592,-0.003463778,0.9955415,-29.18097,10.07872,-25.2703,1003.686
0.319526196,0.07523298,0.1220172,-0.1597527,0.00438771,0.0009362926,1.001836,-29.18097,10.07872,-25.2703,1003.688
0.339341641,0.07523298,0.0615045,-0.1597527,0.004871292,-4.089857E-05,0.9994152,-29.18097,10.07872,-25.2703,1003.688
0.359157086,-0.1084674,0.0615045,-0.1597527,0.002919993,0.001900247,1.000884,-29.47168,8.983736,-24.80635,1003.685
0.378972530,0.0139995,0.1220172,-0.2820776,0.00974604,-0.00147416,1.000346,-29.47168,8.983736,-24.80635,1003.685
0.398788452,0.07523298,0.0615045,-0.1597527,0.00391339,-3.53863E-05,1.003765,-29.47168,8.983736,-24.80635,1003.687
0.418603897,0.1364664,0.0615045,-0.2820776,0.00100412,-0.002488625,1.00232,-28.79893,9.349314,-25.25873,1003.687
0.438419342,0.07523298,0.1825299,-0.2209152,0.00290466,-6.619934E-05,0.993151,-28.79893,9.349314,-25.25873,1003.686
0.458235264,0.1976999,0.0009917939,-0.2209152,0.0009768694,0.00238062,1.002345,-29.17369,9.727663,-24.44044,1003.686
0.480527401,0.07523298,0.3035553,-0.2209152,0.003391034,0.002869582,0.9979902,-29.17369,9.727663,-24.44044,1003.685
0.500343323,0.07523298,0.2430426,-0.2820776,0.006319911,0.0009369856,0.9979643,-29.17369,9.727663,-24.44044,1003.685
0.520158291,0.0139995,0.1220172,-0.2209152,0.0009910488,0.000435265,1.0033,-29.16289,8.987055,-24.8075,1003.683
0.539974213,0.0139995,0.1220172,-0.2209152,0.002919947,-0.001033018,0.9960421,-29.16289,8.987055,-24.8075,1003.683
0.559790135,0.1364664,0.2430426,-0.1597527,0.004387133,-0.001019608,0.9984475,-29.4725,8.975317,-25.2497,1003.687
0.579605103,-0.04723396,0.1825299,-0.03742781,0.002950545,-0.001500022,1.004245,-29.4725,8.975317,-25.2497,1003.687
0.599421024,0.1364664,0.0615045,-0.09859026,0.001450082,0.002373762,0.998481,-29.4725,8.975317,-25.2497,1003.684
0.619235993,0.07523298,0.1825299,-0.09859026,0.006862981,-0.005375282,1.004204,-29.16289,8.987055,-24.8075,1003.684
0.639051914,0.0139995,0.2430426,-0.2820776,0.007299083,-0.001986559,0.9950479,-29.16289,8.987055,-24.8075,1003.684
0.658867836,0.07523298,0.1220172,-0.03742781,0.005348938,0.003866388,1.003294,-29.48975,10.0754,-25.26914,1003.684
0.678682804,-0.04723396,0.1825299,-0.1597527,0.001470796,-0.001033538,0.998946,-29.48975,10.0754,-25.26914,1003.681
0.698498726,0.1364664,0.0615045,-0.2820776,-0.0004718187,-0.002997162,0.9965332,-29.48975,10.0754,-25.26914,1003.681
0.718314648,0.2589334,0.0615045,-0.3432401,0.005852725,0.001925895,1.005212,-29.47672,9.357649,-24.43281,1003.68
0.738129616,0.0139995,0.0615045,-0.03742781,0.001971883,-0.001020475,1.003288,-29.47672,9.357649,-24.43281,1003.68
