Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.240263939,25.822,28.834
1.238473415,25.868,28.85
2.239162922,25.99,28.862
3.239853859,26.058,28.874
4.240547657,26.104,28.886
5.238766193,26.236,28.898
6.239463329,26.246,28.91
7.240162373,26.294,28.922
8.238386631,26.412,28.934
9.239089012,26.458,28.948
10.239793301,26.466,28.96
11.240499497,26.636,28.972
12.238729954,26.626,28.982
13.239439011,26.686,28.994
14.240149975,26.752,29.006
15.238385201,26.766,29.018
16.239099026,26.86,29.028
17.239814758,26.916,29.04
18.240531921,26.964,29.05
19.238773823,27.028,29.062
20.239494324,27.122,29.074
21.240216255,27.172,29.086
22.238461971,27.204,29.096
23.239187241,27.27,29.106
24.239913940,27.34,29.118
